Hair,Eye,Sex,Freq
Black,Brown,Male,32
Brown,Brown,Male,53
Red,Brown,Male,10
Blonde,Brown,Male,3
Black,Blue,Male,11
Brown,Blue,Male,50
Red,Blue,Male,10
Blonde,Blue,Male,30
Black,Hazel,Male,10
Brown,Hazel,Male,25
Red,Hazel,Male,7
Blonde,Hazel,Male,5
Black,Green,Male,3
Brown,Green,Male,15
Red,Green,Male,7
Blonde,Green,Male,8
Black,Brown,Female,36
Brown,Brown,Female,66
Red,Brown,Female,16
Blonde,Brown,Female,4
Black,Blue,Female,9
Brown,Blue,Female,34
Red,Blue,Female,7
Blonde,Blue,Female,64
Black,Hazel,Female,5
Brown,Hazel,Female,29
Red,Hazel,Female,7
Blonde,Hazel,Female,5
Black,Green,Female,2
Brown,Green,Female,14
Red,Green,Female,7
Blonde,Green,Female,8
